"id_questions";"question";"difficulty"
1;"Di quale stato fanno parte le Hawaii?";3
2;"Di che anno è la Costituzione italiana?";2
3;"Nel 1901 effettuò la prima trasmissione radio?";3
4;"La pianta gialla cantata dal Leopardi?";2
5;"Quale film Walt Disney realizzò nel 1937?";1
6;"La vetta concquistata dagli italiani ""seconda cima del mondo?";1
7;"Ha scritto il signore degli anelli?";4
8;"I venti che soffiano costantemente verso equatore?";8
9;"Uccise il Minotauro?";4
10;"di quale isola era ulisse?";2
